NO,ID,MESSAGE,COMMENT,END
87,6045,原因不明。\n＜a-record-set-to-save＞Ｓｔｏｒａｇｅ 名前＝[%1%]\n\n%2%%3%,%1%…名前が入る。%2%…設定位置パンくずリストが入る。%3%…例外メッセージが入る。,END
88,7001,「コントロール設定ファイル」で指定されている、\n[%1%]という名前のコントロールは、登録されていませんでした。\n\n%2%,%1%…コントロール名が入る。%2%…設定位置パンくずリストが入る。,END
89,7002,＜[%1%]＞要素に、未定義の属性[%2%]が記述されていました。\n\n%3%,%1%…設定ノード名が入る。%2%…属性名が入る。%3%…設定位置パンくずリストが入る。,END
90,7003,＜view＞要素の中に、未対応の子要素名がありました。\n未対応の要素＝＜[%1%]　ｎａｍｅ＝”[%2%]”＞,%1%…設定ノード名が入る。%2%…関数名が入る。,END
91,7004,親要素の指定が空っぽ（ヌル）でした。プログラムミスの可能性。\n%1%,%1%…設定位置パンくずリストが入る。,END
92,7005,「S■[%1%]」に、未定義の子要素「S■[%2%]」がありました。\n┌────┐string属性の数=[%3%\n%4%└────┘\n ┌────┐子要素の数=[%5%]\n%6%└────┘\n%7%,%1%…設定ノード名。%2%…子要素名。%3%…string属性の数。%4%…string属性のリスト。%5%…子要素の数。%6%…子要素のリスト。%7%…設定位置パンくずリスト。,END
93,7006,「ａ－ｃａｓｅ」という名前の要素を期待しましたが、[%1%]でした。[%2%]クラスでした。\n　プログラムにミスがあるかもしれません。\n\n%3%,%1%…設定ノード名。%2%…ノードのクラス名。%3%…設定位置パンくずリスト。,END
94,7007,<%1%>要素に、ヌルのattr要素が入っていました。\n　プログラムのミスかも知れません。\n\n　　・(Fcnf) ＜%1%＞ 要素に、＜ａ－ｗｈｅｒｅ＞要素がないものには未対応です。\n\n%2%,%1%…設定ノード名。%2%…設定位置パンくずリスト。,END
95,7008,「S■ａｒｇ３」のname属性で、「p1p」、「p2p」などのattr要素の名前を期待しましたが、「S■[%1%]　name=”[%2%]”」でした。\n[%3%]クラスでした。\n\n親「S■[%4%]　ｎａｍｅ＝”[%5%]”」\n\n　プログラムにミスがあるかもしれません。\n\n%6%%7%,%1%…設定ノード名。%2%…関数名。%3%…関数のクラス名。%4%…親設定ノード名。%5%…親設定関数名。%6%…設定位置パンくずリスト。%7%…例外メッセージ。,END
96,7009,（タイプ１）「select」、「ｆｒｏｍ」など、attr要素の名前を期待しましたが、[%1%]でした。[%2%]クラスでした。\n\n親「S■[%3%]　ｎａｍｅ＝”[%4%]”」\n\n　プログラムにミスがあるかもしれません。\n\n%5%%6%,%1%…設定ノード名。%2%…設定ノードのクラス名。%3%…親設定ノード名。%4%…親設定関数名。%5%…設定位置パンくずリスト。%6%…例外メッセージ。,END
97,7010,＜？？＞要素の指定が空っぽ（ヌル）でした。プログラムミスの可能性。\n%1%,%1%…設定位置パンくずリスト。,END
98,7011,(Fcnf) 子 ＜f-●●＞要素を書くところに、未定義の要素＜%1%＞が書かれていました。これには未対応です。\nクラス=[%2%]\n\n┌────┐書けるキー（個数＝[%3%]）\n%4%└────┘\n親要素は[%5%]\n\n%6%,%1%…設定ノード名。%2%…設定ノードのクラス名。%3%…キーの個数。%4%…キーのリスト。%5%…設定親ノード名。%6%…設定位置パンくずリスト。,END
99,7012,バリデーション設定ファイル読取時。\n\n[%1%]引数に指定された[%2%]というバリデーターは存在しません。,%1%…引数名が入る。%2%…バリデーター名が入る。,END
100,7013,バリデーション設定ファイル読取時。\n\n指定された[%1%]属性[%2%]は整数ではありません。：%3%,%1%…属性名が入る。%2%…属性値が入る。%3%…例外メッセージが入る。,END
101,7014,"""バリデーション設定ファイル読取時。\n\n指定された[%1%]属性[%2%]は整数ではありません。：%3%""",%1%…属性名が入る。%2%…属性値が入る。%3%…例外メッセージが入る。,END
102,7015,バリデーション設定ファイル読取時。\n\n指定された[%1%]というバリデーターは存在しません。,%1%…バリデーター名が入る。,END
103,7016,＜？？＞要素の指定が空っぽ（ヌル）でした。プログラムミスの可能性。\n%1%,%1%…設定位置パンくずリスト。,END
104,7017,[%1%]属性は、直接 value=””属性で指定されたものだけが有効です。子要素は指定できません。\n%2%,%1%…ケース名が入る。%2%…設定位置パンくずリストが入る。,END
105,7018,Ｓｆ：ｃａｓｅ；要素はＳｆ：ｓｗｉｔｃｈ；要素の子であるべきですが、＜%1%:%2%＞要素の子として検出されました。\n　プログラムにミスがあるかもしれません。\n\n%3%,%1%…親設定ノード名が入る。%2%…親設定ノード関数名が入る。%3%…設定位置パンくずリストが入る。,END
106,7019,＜f-listbox-for-items＞要素の中に、未対応の属性名がありました。\n未対応の属性＝＜[%1%]＞,%1%…子設定ノード名が入る。,END
107,7020,＜%1%＞要素の下に、＜%2%＞と記述されていますが、ここには書けません。\n%3%,%1%…子設定ノード名が入る。%2%…親設定ノード名が入る。%3%…設定位置パンくずリストが入る。,END
108,7021,親要素に連結不能でした。\nコメント「gt_Error_CanNotAddParent」\n期待の自「S■[%1%]　ｎａｍｅ＝”[%2%]”」\n┌────┐属性の数=[%3%]\n%4%└────┘\n┌────┐子要素の数=[%5%]\n%6%└────┘\n\n期待の親「E■[%7%]　ｎａｍｅ＝”[%8%]”」\n実際の親「E■[%9%]　ｎａｍｅ＝”[%10%]”」\n┌────┐属性の数=[%11%]\n%12%└────┘\n┌────┐子要素の数=[%13%]\n%14%└────┘\n%15%,%1%…設定ノード名。%2%…関数名。%3%…設定属性の数。%4%…設定属性リスト。%5%…設定子要素の数。%6%…設定子要素リスト。%7%…期待の親設定ノード名。%8%…期待の親設定関数名。%9%…実際の親Expression要素ノード名。%10%…実際の親Expression要素関数名。%11%…Expression属性の数。%12%…子Expression属性リスト。%13%…子Expression要素数。%14%…子Expression要素リスト。%15%…設定位置パンくずリスト。,END
109,7022,自要素が、ｎａｍｅ属性を持たない「E■ｆｎｃ」だった。\nコメント「gt_Error_NoNameParent2」\n期待の自「S■[%1%]　ｎａｍｅ＝”[%2%]”」\n┌────┐属性の数=[%3%]\n%4%└────┘\n┌────┐子要素の数=[%5%]\n%6%└────┘\n\n期待の親「E■[%7%]　ｎａｍｅ＝”[%8%]”」\n実際の親「E■[%9%]　ｎａｍｅ＝”[%10%]”」\n┌────┐属性の数=[%11%]\n%12%└────┘\n┌────┐子要素の数=[%13%]\n%14%└────┘\n%15%,%1%…設定ノード名。%2%…関数名。%3%…設定属性の数。%4%…設定属性リスト。%5%…設定子要素の数。%6%…設定子要素リスト。%7%…期待の親設定ノード名。%8%…期待の親設定関数名。%9%…実際の親Expression要素ノード名。%10%…実際の親Expression要素関数名。%11%…Expression属性の数。%12%…子Expression属性リスト。%13%…子Expression要素数。%14%…子Expression要素リスト。%15%…設定位置パンくずリスト。,END
